id;activite_soumise;adresse;nom;dep;bar_tabac;bureau_tabac;cave_cigare;tabac_presse;services;telephone;dep_name
20;buraliste;192 BOULEVARD MALESHERBES 75017 PARIS VOIR LE PLAN;JL CAFÉ MALESHERBES;75;0;1;0;0;bar & cigares & brasserie & cigarettes électroniques & fdj & tabac à pipe & loterie en ligne & timbre poste & ;09 53 57 29 28;Paris
21;buraliste;6 RUE RENARD 75004 PARIS VOIR LE PLAN;TABAC DU RENARD;75;0;1;0;0;bar & cigares & brasserie & cigarettes électroniques & fdj & pile & ticket de transport & tabac à pipe & ;01 42 72 26 36;Paris
22;buraliste;44 RUE RIVOLI 75004 PARIS VOIR LE PLAN;LE TABAC DE RIVOLI;75;0;1;1;1;fdj & presse & pmu & cigares & cave à cigares & cigarettes électroniques & ticket de transport & carte postale & ;01 42 72 54 11;Paris
23;buraliste;54 BOULEVARD ST GERMAIN 75005 PARIS VOIR LE PLAN;TABAC SAINT GERMAIN LEVY HERVE JEAN PIERRE;75;0;1;1;1;presse & cigares & fdj & cigarettes électroniques & cave à cigares & articles pour fumeurs & tabac à pipe & ;01 43 54 26 48;Paris
24;buraliste;157 RUE ST HONOR 75001 PARIS VOIR LE PLAN;A LA CIVETTE;75;0;1;1;0;cave à cigares & cigares & cigarettes électroniques & carte téléphonique & pile & tabac à pipe & articles pour fumeurs & articles pour vapoteurs & ;01 42 96 04 99;Paris
25;buraliste;22 AVENUE GEORGE V 75008 PARIS VOIR LE PLAN;YULUO JIANG;75;0;1;1;0;fdj & masque grand public & cave à cigares & cigares & accès handicapé & cigarettes électroniques & tabac à pipe & articles pour fumeurs & ;01 47 23 44 75;Paris
26;buraliste;25 RUE RENDEZ VOUS 75012 PARIS VOIR LE PLAN;TABAC DU RDV;75;0;1;1;0;bar & cigares & brasserie & cigarettes électroniques & fdj & carte postale & cave à cigares & stylo & ;01 43 43 20 78;Paris
27;buraliste;45 AVENUE ITALIE 75013 PARIS VOIR LE PLAN;LASA;75;0;1;0;0;fdj & paiement de proximité & parking & accès handicapé & pmu & ;09 64 23 43 23;Paris
28;buraliste;5 BOULEVARD PALAIS 75004 PARIS VOIR LE PLAN;TABAC DU PALAIS;75;0;1;0;0;"";01 43 29 31 47;Paris
29;buraliste;GARE DE LEST PLACE 11 NOVEMBRE 1918 75010 PARIS VOIR LE PLAN;RELAIS H EST PETIT CASINO LAGARDERE TRAVEL RETAIL FRANCE;75;0;1;0;0;"";01 42 05 04 96;Paris
30;buraliste;102 RUE MONTORGUEIL 75002 PARIS VOIR LE PLAN;ZEN;75;0;1;0;0;"";01 42 33 45 28;Paris
